Year,Month,Day,Weekday,Start Time,Event Name,Venue
2023,07,09,日,17:00,LAWSON presents 朗読歌劇アルマギア ～First Live 2023～,TACHIKAWA STAGE GARDEN(立川ステージガーデン)
2022,08,27,土,16:00,【出演者変更】Animelo Summer Live 2022 -Sparkle- 2日目,さいたまスーパーアリーナ
2019,09,08,日,17:30,Magia Day 2019,TOKYO DOME CITY HALL(東京ドームシティホール)
2019,08,30,金,16:00,Animelo Summer Live 2019 -STORY- 1日目,さいたまスーパーアリーナ
2018,11,25,日,08:40,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 新宿バルト9 8:40上映終了後,新宿バルト9
2018,11,25,日,10:40,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 新宿バルト9 10:40上映開始前,新宿バルト9
2018,11,25,日,14:55,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 TOHOシネマズ上野,TOHOシネマズ上野
2018,11,25,日,17:05,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 MOVIXさいたま,MOVIXさいたま
2018,11,25,日,12:15,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 シネマサンシャイン池袋 12:15上映終了後,シネマサンシャイン池袋(閉館)
2018,11,25,日,14:20,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 シネマサンシャイン池袋 14:20上映開始前,シネマサンシャイン池袋(閉館)
2017,08,13,日,18:00,スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!!（夜の部）,旧さいたま市民会館おおみや(閉館)
2017,08,13,日,15:00,スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!! （昼の部）,旧さいたま市民会館おおみや(閉館)
2017,02,11,土,18:10,ゆいかおりLIVE TOUR『Starlight Link』 東京公演,国立代々木競技場第一体育館
2017,02,05,日,18:00,ゆいかおりLIVE TOUR『Starlight Link』 大阪公演,グランキューブ大阪(大阪府立国際会議場)
2017,01,15,日,18:00,ゆいかおりLIVE TOUR『Starlight Link』 仙台公演,仙台サンプラザホール
2017,01,09,月,18:00,ゆいかおりLIVE TOUR『Starlight Link』 名古屋公演,名古屋国際会議場 センチュリーホール
2016,09,04,日,17:00,ゆいかおりニューシングル「Promise You!!」発売記念イベント ＜第2部＞,ラフォーレミュージアム六本木(閉館)
2016,09,04,日,14:00,ゆいかおりニューシングル「Promise You!!」発売記念イベント ＜第1部＞,ラフォーレミュージアム六本木(閉館)
2016,08,28,日,16:00,Animelo Summer Live 2016 刻-TOKI- 3日目,さいたまスーパーアリーナ
2016,03,12,土,17:35,ゆいかおりLIVE「RAINBOW CANARY!!」～Brightest Stage～,日本武道館
2016,01,24,日,14:30,城下町のダンデライオン スペシャルイベント (昼の部),品川インターシティホール
2016,01,24,日,18:30,城下町のダンデライオン スペシャルイベント (夜の部),品川インターシティホール
2016,01,03,日,17:00,ゆいかおりLIVE TOUR「RAINBOW CANARY!!」 神奈川公演【2日目】,パシフィコ横浜  国立大ホール
2016,01,02,土,18:00,ゆいかおりLIVE TOUR「RAINBOW CANARY!!」 神奈川公演【1日目】,パシフィコ横浜  国立大ホール
2015,12,26,土,18:30,ゆいかおりLIVE TOUR「RAINBOW CANARY!!」 愛知公演,名古屋国際会議場 センチュリーホール
2015,12,23,水,18:30,ゆいかおりLIVE TOUR「RAINBOW CANARY!!」 大阪公演,南海浪切ホール(岸和田市立浪切ホール)
2015,11,22,日,16:00,A&Gオールスター2015,パシフィコ横浜  国立大ホール
2015,11,15,日,12:30,ゆいかおり3rdアルバム「Bright Canary」発売記念 トーク＆抽選会イベント ＜なんば＞,ゲーマーズなんば店
2015,11,15,日,17:30,ゆいかおり3rdアルバム「Bright Canary」発売記念 トーク＆抽選会イベント ＜名古屋＞,第3太閤ビル
2015,11,08,日,16:00,ゆいかおり3rdアルバム「Bright Canary」発売記念 トーク＆抽選会イベント ＜第2部＞,快・決いい会議室(KDX東新宿ビル)
2015,11,08,日,13:05,ゆいかおり3rdアルバム「Bright Canary」発売記念 トーク＆抽選会イベント ＜第1部＞,快・決いい会議室(KDX東新宿ビル)
2015,08,30,日,16:00,Animelo Summer Live 2015 THE GATE 3日目,さいたまスーパーアリーナ
2015,08,23,日,17:30,ゆいかおりニューシングル「Ring Ring Rainbow!!」発売記念＆Birthdayイベント ＜第2部＞,東京総合美容専門学校(TSBS) マルチホール
2015,08,23,日,14:00,ゆいかおりニューシングル「Ring Ring Rainbow!!」発売記念＆Birthdayイベント ＜第1部＞,東京総合美容専門学校(TSBS) マルチホール
2015,08,08,土,14:00,TBSアニメフェスタ2015,文京シビックホール 大ホール
2015,07,20,月,18:45,「MUSIC JAPAN」番組観覧 2015年7月20日,NHKホール
