Date,Title,Venue
2023-11-25 (土),第65回朝日新聞社杯 競輪祭 キュービックスターズ イベント,会場: 北九州メディアドーム(小倉競輪場)
2019-12-27 (金),フジテレビ『オダイバ！！超次元音楽祭』観覧 収録日程C,会場: フジテレビ湾岸スタジオ
2019-08-30 (金),Animelo Summer Live 2019 -STORY- 1日目,会場: さいたまスーパーアリーナ（プリンセスコネクト）
2019-11-30 (土),北九州ポップカルチャーフェスティバル2019withあるあるcity 「マギカ☆トーク in KPF」スペシャルトークショー,会場: 西日本総合展示場新館
2019-09-08 (日),Magia Day 2019,会場: TOKYO DOME CITY HALL(東京ドームシティホール)
2018-09-01 (土),Magia Day 2018,会場: ヒューリックホール東京(HULIC HALL TOKYO)
2019-06-16 (日),ゼクストリーム 2019.SUMMER in 秋葉原 閉会式,会場: ベルサール秋葉原
2019-03-23 (土),AnimeJapan 2019 1日目 マギアレコードブース シークレットステージ 2回目,会場: 東京ビッグサイト(東京国際展示場)








2018-04-14 (土),「Wonderland Wars Cast Song」発売記念トーク＆試聴会,会場: レンタルホール「スペース・セブン」

2018-03-24 (土),TVアニメ「踏切時間」 舞台挨拶付先行上映会,会場: ユナイテッド・シネマ豊洲

2018-02-25 (日),「ルッキングオーダー -diva.Kurush-（CV.小倉唯）」発売記念イベント,会場: 科学技術館サイエンスホール
2018-02-25 (日),「AH-C620RAG アストロガールズ・スペシャルエディション」発売記念イベント,会場: 科学技術館サイエンスホール
2018-02-18 (日),ワンダーフェスティバル2018[冬] GA文庫2018発表ステージ,会場: 幕張メッセ 国際展示場ホール
2018-02-17 (土),TVアニメ「徒然チルドレン」バレンタイン♡大反省会,会場: NEW PIER HALL(ニューピアホール)
2017-12-03 (日),ひなろじ ～from Luck&Logic～ アニメ ひなろじ フィナーレ記念イベント,会場: 科学技術館サイエンスホール

2017-10-08 (日),TVアニメ『ひなこのーと』スペシャルイベント【昼公演】,会場: 日本教育会館 一ツ橋ホール
2017-10-08 (日),TVアニメ『ひなこのーと』スペシャルイベント【夜公演】,会場: 日本教育会館 一ツ橋ホール

2017-09-24 (日),「はじめてのギャル」Blu-ray&DVD発売記念イベント ゲーマーズの回 1回目,会場: AKIHABARAゲーマーズ本店
2017-09-24 (日),「はじめてのギャル」Blu-ray&DVD発売記念イベント ゲーマーズの回 2回目,会場: AKIHABARAゲーマーズ本店
2017-09-16 (土),「第肆回「艦これ」観艦式」昼の部,会場: 東京ビッグサイト(東京国際展示場)
2017-09-16 (土),「第肆回「艦これ」観艦式」夜の部,会場: 東京ビッグサイト(東京国際展示場)
2017-08-13 (日),スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!!（夜の部）,会場: 旧さいたま市民会館おおみや(閉館)
2017-08-13 (日),スクールガールストライカーズ AnimationChannel 五稜館学園 夏まつり!! （昼の部）,会場: 旧さいたま市民会館おおみや(閉館)
2017-06-25 (日),「はじめてのギャル」はじめての先行上映会,会場: 新宿ピカデリー
2017-06-24 (土),TVアニメ『ひなこのーと』最終回上映イベント,会場: 科学技術館サイエンスホール
2017-05-07 (日),ViVid☆PARTY,会場: 舞浜アンフィシアター
2017-05-06 (土),ブシロード10周年祭 1日目 ステージイベント「ひなろじ～from Luck & Logic～」アニメ制作発表会,会場: 東京ビッグサイト(東京国際展示場)
2017-03-25 (土),AnimeJapan 2017 1日目 GREENステージ Program 3 TVアニメ『ひなこのーと』スペシャルステージ,会場: 東京ビッグサイト(東京国際展示場)
2017-03-18 (土),ガールフレンド（♪）DVD発売記念　小倉唯さんトークショー(1回目),会場: AKIHABARAゲーマーズ本店
2017-03-18 (土),ガールフレンド（♪）DVD発売記念　小倉唯さんトークショー(2回目),会場: AKIHABARAゲーマーズ本店
2017-02-26 (日),デノン AH-D1100 アストロガールズ・スペシャルエディション発売記念イベント,会場: 東京アニメ・声優＆eスポーツ専門学校(旧：東京アニメ・声優専門学校 北葛西校舎)
