Date,Title,Venue
2024-11-03 (日),水瀬いのり2024年ライブツアー【千葉】11月3日,会場: LaLa arena TOKYO-BAY(ららアリーナ 東京ベイ)
2024-11-02 (土),水瀬いのり2024年ライブツアー【千葉】11月2日,会場: LaLa arena TOKYO-BAY(ららアリーナ 東京ベイ)
2024-10-19 (土),水瀬いのり2024年ライブツアー【北海道】,会場: カナモトホール(札幌市民ホール)
2024-10-12 (土),水瀬いのり2024年ライブツアー【福岡】,会場: 福岡サンパレス ホテル&ホール
2024-10-05 (土),水瀬いのり2024年ライブツアー【愛知】,会場: 名古屋国際会議場 センチュリーホール
2024-09-21 (土),水瀬いのり2024年ライブツアー【広島】,会場: 上野学園ホール(広島県立文化芸術ホール)
2024-09-15 (日),水瀬いのり2024年ライブツアー【兵庫】,会場: 神戸ワールド記念ホール
2024-05-26 (日),【出演者変更】TVアニメ「陰の実力者になりたくて！ 2nd season」スペシャルイベント【昼の部】,会場: 松戸市民会館
2024-05-12 (日),KING SUPER LIVE 2024 DAY2,会場: Kアリーナ横浜
2024-05-11 (土),KING SUPER LIVE 2024 DAY1,会場: Kアリーナ横浜
2024-04-28 (日),「五等分の花嫁 5th Anniversary EVENT in 横浜アリーナ」DAY2,会場: 横浜アリーナ
2024-03-23 (土),AnimeJapan2024 BLUE STAGE『「あの花」「ここさけ」「空青」振り返り＆新作映画「ふれる。」トークステージ』,会場: 東京ビッグサイト(東京国際展示場)
2024-03-23 (土),AnimeJapan2024 NBCユニバーサル・エンターテイメントジャパンブース「『ご注文はうさぎですか？』TVアニメ10周年記念SPステージ」,会場: 東京ビッグサイト(東京国際展示場)
2024-03-09 (土),『恐竜超伝説 2 劇場版ダーウィンが来た！』 公開記念舞台挨拶 10：00の回,会場: ユナイテッド・シネマ アクアシティお台場
2024-03-09 (土),『恐竜超伝説 2 劇場版ダーウィンが来た！』 公開記念舞台挨拶 12：45の回,会場: ユナイテッド・シネマ アクアシティお台場
2024-03-02 (土),「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【愛知】,会場: Niterra日本特殊陶業市民会館 フォレストホール
2024-02-10 (土),「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【滋賀】,会場: 滋賀県立芸術劇場びわ湖ホール
2024-02-04 (日),「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【埼玉】昼公演,会場: 大宮ソニックシティ 大ホール
2024-02-04 (日),「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【埼玉】夜公演,会場: 大宮ソニックシティ 大ホール
2024-01-20 (土),『政宗くんのリベンジR』スペシャルイベント「～政宗くんと食欲の愛姫　ランチタイム～」（昼の部）,会場: 幕張国際研修センター 4Fシンポジウムホール
2024-01-20 (土),『政宗くんのリベンジR』スペシャルイベント「～政宗くんと食欲の愛姫　ディナータイム～」（夜の部）,会場: 幕張国際研修センター 4Fシンポジウムホール
2024-01-14 (日),劇場アニメ『青春ブタ野郎はランドセルガールの夢を見ない』ヒロイン舞台挨拶 12:20の回,会場: ユナイテッド・シネマ豊洲
2024-01-14 (日),劇場アニメ『青春ブタ野郎はランドセルガールの夢を見ない』ヒロイン舞台挨拶 14:45の回,会場: ユナイテッド・シネマ豊洲
2023-12-15 (金),『劇場版 シルバニアファミリー フレアからのおくりもの』公開御礼声優舞台挨拶,会場: イオンシネマ板橋
2023-12-02 (土),「水瀬いのり MELODY FLAG」公開録音イベント,会場: パシフィコ横浜  国立大ホール
