Year,Month,Day,Weekday,Start Time,Event Name,Venue
2024,08,31,土,16:00,Animelo Summer Live 2024 -Stargazer- DAY2,さいたまスーパーアリーナ
2024,08,15,木,14:00,小倉 唯 Birthday Event 2024 ＂唯凉祭＂〜Cute or Cool？〜［1部］〜Day Cute♡mode〜,LINE CUBE SHIBUYA (渋谷公会堂)
2024,08,15,木,18:30,小倉 唯 Birthday Event 2024 ＂唯凉祭＂〜Cute or Cool？〜［2部］〜Night Cool☆mode〜,LINE CUBE SHIBUYA (渋谷公会堂)
2024,06,13,木,14:00,劇場版ウマ娘Fビレッジスペシャルトークショー,ES CON FIELD HOKKAIDO
2024,06,08,土,14:00,Yui Ogura Fan Meeting in Seoul(presented by KOE) 1部,CTS Art Hall
2024,06,08,土,17:30,Yui Ogura Fan Meeting in Seoul(presented by KOE) 2部,CTS Art Hall
2024,05,25,土,12:00,小倉 唯×サンリオピューロランド コラボイベント『ゆいちゃん・ハローキティ〜きらきらリボン♡大作戦〜』supported by WILLER ACROSS 1部,サンリオピューロランド エンターテイメントホール
2024,05,25,土,14:30,小倉 唯×サンリオピューロランド コラボイベント『ゆいちゃん・ハローキティ〜きらきらリボン♡大作戦〜』supported by WILLER ACROSS 2部,サンリオピューロランド エンターテイメントホール
2024,05,25,土,18:30,小倉 唯×サンリオピューロランド コラボイベント『ゆいちゃん・ハローキティ〜きらきらリボン♡大作戦〜』supported by WILLER ACROSS 3部,サンリオピューロランド エンターテイメントホール
2024,05,18,土,12:00,春のゆい祭り「君色のキセキ」発売記念ゲーマーズトークイベント 1部,AKIHABARAゲーマーズ本店
2024,05,18,土,14:30,春のゆい祭り「君色のキセキ」発売記念ゲーマーズトークイベント 2部,AKIHABARAゲーマーズ本店
2024,05,18,土,18:00,春のゆい祭り「君色のキセキ」発売記念イベント アニメイト回,アニメイト池袋本店 9F animate hall BLACK
2024,05,06,月,Start time not available,劇場版『ウマ娘 プリティーダービー 新時代の扉』完成披露プレミア,!_東京都内某所
2024,04,20,土,17:00,小倉 唯 Newシングル「君色のキセキ」発売記念　お渡し会 ゲーマーズ回 東京会場③,AKIHABARAゲーマーズ本店
2024,04,20,土,13:00,小倉 唯 Newシングル「君色のキセキ」発売記念　お渡し会 ゲーマーズ回 東京会場①,AKIHABARAゲーマーズ本店
2024,04,20,土,15:00,小倉 唯 Newシングル「君色のキセキ」発売記念　お渡し会 ゲーマーズ回 東京会場②,AKIHABARAゲーマーズ本店
2024,04,14,日,18:00,小倉 唯 Newシングル「君色のキセキ」発売記念 お渡し会 アニメイト回 大阪会場【3回目】,アニメイト大阪日本橋
2024,04,14,日,16:00,小倉 唯 Newシングル「君色のキセキ」発売記念 お渡し会 アニメイト回 大阪会場【2回目】,アニメイト大阪日本橋
2024,04,14,日,14:00,小倉 唯 Newシングル「君色のキセキ」発売記念 お渡し会 アニメイト回 大阪会場【1回目】,アニメイト大阪日本橋
2024,04,13,土,13:00,小倉 唯 Newシングル「君色のキセキ」発売記念　お渡し会 ゲーマーズ回 名古屋会場①,第1アメ横ビル
2024,04,13,土,14:30,小倉 唯 Newシングル「君色のキセキ」発売記念　お渡し会 ゲーマーズ回 名古屋会場②,第1アメ横ビル
2024,04,13,土,18:30,小倉 唯 Newシングル「君色のキセキ」発売記念 お渡し会 アニメイト回 名古屋会場【2回目】,第3太閤ビル
